#Instructor	min_sections	max_sections
Instructor Name1	1	2
Instructor Name2	1	2
Instructor Name3	1	2
Instructor Name4	1	2
Instructor Name5	1	3
Instructor Name6	1	2
Instructor Name7	1	2
Instructor Name8	1	2
Instructor Name9	1	2
Instructor Name10	1	3
Instructor Name11	1	2
Instructor Name12	1	3
Instructor Name13	1	2
Instructor Name14	1	3
Instructor Name15	1	2
Instructor Name16	1	2
Instructor Name17	1	3
Instructor Name18	1	2
Instructor Name19	1	2
Instructor Name20	1	2
Instructor Name21	1	3
Instructor Name22	1	2
Instructor Name23	1	2
Instructor Name24	1	2
Instructor Name25	1	1
